dest_ip,dest_port,metadata_comment
173.245.49.116,80,proxylist.txt
68.183.179.119,8888,proxylist.txt
172.67.161.248,80,proxylist.txt
172.67.167.16,80,proxylist.txt
141.193.213.151,80,proxylist.txt
172.67.181.176,80,proxylist.txt
72.207.113.97,4145,proxylist.txt
141.101.121.43,80,proxylist.txt
23.227.39.151,80,proxylist.txt
77.104.76.230,8080,proxylist.txt
45.167.93.24,999,proxylist.txt
36.50.224.37,8085,proxylist.txt
38.65.174.107,999,proxylist.txt
186.96.111.214,999,proxylist.txt
103.169.142.166,80,proxylist.txt
141.101.120.207,80,proxylist.txt
172.64.78.34,80,proxylist.txt
141.101.115.251,80,proxylist.txt
203.111.253.146,8080,proxylist.txt
103.156.75.213,8787,proxylist.txt
98.64.128.182,3128,proxylist.txt
185.138.120.109,8080,proxylist.txt
172.64.49.76,80,proxylist.txt
103.118.46.61,8080,proxylist.txt
218.75.102.198,8000,proxylist.txt
203.95.199.7,8080,proxylist.txt
91.193.58.206,80,proxylist.txt
185.238.228.230,80,proxylist.txt
141.101.120.64,80,proxylist.txt
185.238.228.163,80,proxylist.txt
184.178.172.5,15303,proxylist.txt
69.84.182.162,80,proxylist.txt
216.205.52.116,80,proxylist.txt
216.205.52.151,80,proxylist.txt
139.59.1.14,3128,proxylist.txt
172.64.149.33,80,proxylist.txt
45.131.5.227,80,proxylist.txt
172.67.70.211,80,proxylist.txt
216.205.52.153,80,proxylist.txt
141.101.115.101,80,proxylist.txt
45.131.5.231,80,proxylist.txt
141.101.121.92,80,proxylist.txt
185.162.228.178,80,proxylist.txt
63.141.128.118,80,proxylist.txt
31.43.179.157,80,proxylist.txt
172.67.156.163,80,proxylist.txt
172.67.150.31,80,proxylist.txt
188.114.96.96,80,proxylist.txt
172.67.162.180,80,proxylist.txt
172.67.65.31,80,proxylist.txt
31.43.179.48,80,proxylist.txt
45.12.30.180,80,proxylist.txt
185.162.228.1,80,proxylist.txt
172.67.182.124,80,proxylist.txt
141.193.213.191,80,proxylist.txt
138.59.177.117,5678,proxylist.txt
142.54.235.9,4145,proxylist.txt
142.54.229.249,4145,proxylist.txt
142.54.228.193,4145,proxylist.txt
142.54.239.1,4145,proxylist.txt
172.67.70.134,80,proxylist.txt
31.43.179.172,80,proxylist.txt
31.12.75.115,80,proxylist.txt
172.67.186.143,80,proxylist.txt
185.162.231.55,80,proxylist.txt
172.67.170.194,80,proxylist.txt
31.43.179.124,80,proxylist.txt
173.245.49.77,80,proxylist.txt
172.67.180.40,80,proxylist.txt
103.154.113.245,4153,proxylist.txt
104.37.135.145,4145,proxylist.txt
173.245.59.85,80,proxylist.txt
45.131.5.127,80,proxylist.txt
172.67.126.178,80,proxylist.txt
141.193.213.175,80,proxylist.txt
103.21.244.161,80,proxylist.txt
172.67.141.148,80,proxylist.txt
103.21.244.206,80,proxylist.txt
172.67.136.41,80,proxylist.txt
154.92.9.69,80,proxylist.txt
45.131.5.253,80,proxylist.txt
141.101.120.206,80,proxylist.txt
45.131.7.88,80,proxylist.txt
103.21.244.110,80,proxylist.txt
141.101.120.231,80,proxylist.txt
63.141.128.232,80,proxylist.txt
172.64.153.253,80,proxylist.txt
63.141.128.106,80,proxylist.txt
141.101.120.181,80,proxylist.txt
103.93.93.95,8181,proxylist.txt
41.191.203.160,80,proxylist.txt
36.147.78.166,80,proxylist.txt
172.67.255.225,80,proxylist.txt
185.18.250.90,80,proxylist.txt
103.216.50.223,8080,proxylist.txt
172.64.152.246,80,proxylist.txt
45.131.7.226,80,proxylist.txt
141.101.113.95,80,proxylist.txt
23.227.38.251,80,proxylist.txt
183.88.240.139,4153,proxylist.txt
184.178.172.14,4145,proxylist.txt
184.181.217.210,4145,proxylist.txt
184.178.172.3,4145,proxylist.txt
184.170.249.65,4145,proxylist.txt
184.178.172.23,4145,proxylist.txt
184.181.217.201,4145,proxylist.txt
45.131.6.146,80,proxylist.txt
172.67.201.224,80,proxylist.txt
172.67.241.49,80,proxylist.txt
108.162.194.121,80,proxylist.txt
102.177.176.37,80,proxylist.txt
141.101.122.120,80,proxylist.txt
202.154.19.63,8083,proxylist.txt
103.118.46.176,8080,proxylist.txt
195.85.23.143,80,proxylist.txt
172.67.109.253,80,proxylist.txt
173.245.49.118,80,proxylist.txt
185.162.230.227,80,proxylist.txt
103.224.48.38,31433,proxylist.txt
174.64.199.82,4145,proxylist.txt
198.8.94.174,39078,proxylist.txt
172.67.88.70,80,proxylist.txt
45.131.5.239,80,proxylist.txt
172.67.172.29,80,proxylist.txt
45.12.30.139,80,proxylist.txt
172.67.75.236,80,proxylist.txt
108.162.196.115,80,proxylist.txt
185.162.229.175,80,proxylist.txt
66.235.200.34,80,proxylist.txt
172.67.76.123,80,proxylist.txt
188.114.99.102,80,proxylist.txt
172.67.70.234,80,proxylist.txt
172.67.70.71,80,proxylist.txt
172.67.230.203,80,proxylist.txt
172.67.134.28,80,proxylist.txt
185.238.228.9,80,proxylist.txt
185.162.231.120,80,proxylist.txt
172.67.177.252,80,proxylist.txt
18.194.195.73,80,proxylist.txt
107.181.161.81,4145,proxylist.txt
104.200.135.46,4145,proxylist.txt
104.200.152.30,4145,proxylist.txt
98.170.57.249,4145,proxylist.txt
98.188.47.132,4145,proxylist.txt
172.67.161.91,80,proxylist.txt
172.67.185.214,80,proxylist.txt
172.67.161.199,80,proxylist.txt
172.67.83.151,80,proxylist.txt
185.162.230.5,80,proxylist.txt
185.146.173.20,80,proxylist.txt
45.131.5.57,80,proxylist.txt
185.238.228.84,80,proxylist.txt
172.67.179.119,80,proxylist.txt
172.64.154.142,80,proxylist.txt
172.67.212.220,80,proxylist.txt
23.227.38.253,80,proxylist.txt
173.245.49.33,80,proxylist.txt
185.221.160.176,80,proxylist.txt
195.133.220.46,1971,proxylist.txt
103.21.244.29,80,proxylist.txt
111.177.48.18,9501,proxylist.txt
72.207.33.64,4145,proxylist.txt
98.191.0.37,4145,proxylist.txt
72.195.34.59,4145,proxylist.txt
174.77.111.197,4145,proxylist.txt
68.71.242.118,4145,proxylist.txt
67.201.35.145,4145,proxylist.txt
199.187.210.54,4145,proxylist.txt
67.201.59.70,4145,proxylist.txt
199.102.107.145,4145,proxylist.txt
68.71.247.130,4145,proxylist.txt
