metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1765175665.0905,elite,139.35148030394,1761069011.4291,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764698711,1765216795.3189,80,http,108.162.193.194:80,False,63.488960266113,29300,97,99.670034357247,108.162.193.194
True,1765082141.2851,elite,142.19671795297,1761068024.0851,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764697490,1765216795.0209,80,http,8.35.211.177:80,False,36.316871643066,29251,99,99.66269165247,8.35.211.177
True,1763476568.8189,elite,116.23189776613,1721622902.5864,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764663653,1765216794.9905,80,http,108.162.192.164:80,False,32.021284103394,98379,1422,98.575164577509,108.162.192.164
True,1763476541.1452,elite,115.01560387172,1720503152.8012,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764663747,1765216794.9077,80,http,108.162.192.158:80,False,24.043798446655,98925,4435,95.709171826625,108.162.192.158
True,1765207804.4832,elite,139.40386303136,1765207804.4832,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1765207808,1765216794.727,80,http,8.35.211.204:80,False,168.4353351593,61,0,100.0,8.35.211.204
True,1765206701.2851,elite,146.10560123737,1765206701.2851,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765206704,1765216794.6189,80,http,141.101.113.150:80,False,152.01735496521,65,0,100.0,141.101.113.150
True,1763477256.0252,elite,140.8056271264,1761064806.5538,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764694359,1765216794.5906,80,http,8.35.211.167:80,False,288.58995437622,29261,99,99.66280653951,8.35.211.167
True,1765192381.9989,elite,119.36487217769,1753334786.0431,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764827738,1765216794.2783,80,http,216.205.52.153:80,False,255.67674636841,79966,190,99.762962223664,216.205.52.153
True,1765216253.7565,transparent,5181.1393605676,1764760225.7763,AS139831 DITO TELECOMMUNITY CORP.,DTC-AS-AP,Calatrava,Asia,AS,Philippines,PH,,False,Dito Telecommunity Corp.,10.595,123.484,False,Dito Telecommunity Corp.,False,Western Visayas,success,Asia/Manila,,1764760749,1765216794.2218,8082,http,139.135.77.34:8082,False,1716.1378860474,314,2571,10.883882149047,139.135.77.34
True,1764740204.0324,elite,147.11926494978,1764740204.0324,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764740204,1765216794.1818,80,http,108.162.193.130:80,False,63.347578048706,3132,0,100.0,108.162.193.130
